"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION,,
#200712311639,3,2007/12/31,2009/05/12,ISSUED,9,2011/05/12,200000,350000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,822,14,842,,FELL,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"Remodel existing 4th floor. Add 3 bedrooms  2 bathrooms. Replace portion of pitched roof with flat roof. New stairs to roof. New DECK & interior stairs TO 4TH FLOOR.",,
#200801313733,3,2008/01/31,2009/05/06,ISSUED,9,2010/05/06,54400,54400,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,5320,39,1888,,PALOU,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"Revision to P/A #2005.11.23.8930. For correct lot & address  see #2007.05.24.2246. Reconfigurate layout on all floors. Family room  guestroom  and bathroom at ground fl. Office  bedroom  two bathrooms  kitchen & dining room at 2nd fl. Two bedrooms  two bathrooms  and social room at 3rd floor. (The",,
#200802124613,3,2008/02/12,2009/05/18,ISSUED,9,2010/05/18,250000,250000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,993,25,3750,,CLAY,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"DEMO SOME INTERIOR AND EXTERIOR WALLS IN BASEMENT 1ST AND 2ND FLOORS  DEMO THE EX. REAR DECK ONTHE IST FLR. CONSTRUCT 2 NEW BEDROOMS IN THE BASEMENT  BELOW THE EX. DECK. CONSTRUCT A NEW DECK AT SAME LOCATION. CONSTRUCT NEW EXTENTION OF KITCHEN ON THE 1ST FLR AND NEW EXTENSION OF BEDROOM ON 2ND FLOOR",,
#200803036107,3,2008/03/03,2009/05/12,ISSUED,9,2010/05/12,200000,200000,APARTMENTS,6,APARTMENTS,6,51,18,581,,FRANCISCO,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"Install new garage at basement level  Rebuild existing rear stairs w/new config. Install new automobile elevator  Interior alterations to exit stairs from basement and above.",,
#200803036107,3,2008/03/03,2009/05/12,ISSUED,9,2010/05/12,200000,200000,APARTMENTS,6,APARTMENTS,6,51,18,591,,FRANCISCO,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"Install new garage at basement level  Rebuild existing rear stairs w/new config. Install new automobile elevator  Interior alterations to exit stairs from basement and above.",,
#200803197466,3,2008/03/19,2009/05/19,ISSUED,9,2010/05/19,180000,180000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,1908,12,1647,,35TH,AV,,,"MICHAEL FREDERICK KENNEDY",,4158501069,"NARROWBACK CONSTRUCTION CO.",MISSION,ST,"SAN FRANCISCO",CA,94112-0000,,,"Two story horizontal addition into rear yard for (N) office and (N) sitting room on the 1st floor  and (N) office and (N) deck on the 2nd floor. NEW BASEMENT BELOW NEW HORIZONTAL ADDITION. ",,
#200804048923,3,2008/04/04,2009/05/06,ISSUED,9,2011/05/06,130000,310000,"2 FAMILY DWELLING",2,"1 FAMILY DWELLING",1,2654,18,10,,DEMING,ST,,,OWNER,,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"REMODEL/ALTER (E) 3BDRMS/2BATHS INTO 3BDRMS/4 BATHS  1 WORK RM  KITCHEN  LIVING AREAS. GRD FL-ENCLOSE DECK  CREATE FOYER TO CONNECT GARAGE/RESID. ROOF OVER (E) LIVING RM TO BE RAISED 1'. LOWER LEVEL: HORIZ. ADDITION  PARTIALLY ENCLOSED (E) PATIO  IMPROVE CRAWL SPACE TO LIVING SPACE.ADD  ",,
#200804159743,3,2008/04/15,2009/05/15,ISSUED,9,2010/05/15,60000,90000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,1789,2,1323,,34TH,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"HORIZONTAL ADDITION ON THE 3RD FLOOR ONLY. ADD EXERCISE RM  WALK-IN CLOSET AT THE 3RD FLOOR. ADD OFFICE AND HALF BATH ON THE GROUND FLOOR. ENLARGE EX. BATHROOM ON BOTH THE GROUND AND 3RD FLOORS.",,
#200804210271,3,2008/04/21,2009/05/08,ISSUED,9,2011/05/08,360000,360000,"RETAIL SALES",,"RETAIL SALES",,309,11,212,,STOCKTON,ST,,,"DAVID  PLANT",,4152850500,"PLANT CONSTRUCTION CO",NEWHALL,ST,"SAN FRANCISCO",CA,94124,,,"NEW STOREFRONT FACADE ON G/F AND 2ND FL ALONG STOCKTON ST. FOR NEW RETAIL STORE-BULDARI  NO INTERIOR OR OTHER CONST WORK ON THIS PERMIT.",,
#200805081622,3,2008/05/08,2009/05/05,ISSUED,9,2009/09/05,1,1,APARTMENTS,3,APARTMENTS,3,97,35,1145,,FILBERT,ST,,,"DAVID BRUCE FORDE",,4155225930,"FORDE MAZZOLA ASSOCIATES INC","17TH STREET #101",,"SAN FRANCISCO",CA,94103-0000,,,"REVISION TO APPL #200703025338/S1: REDUCTION TO BASEMENT & EXCAVATION FOR BASEMENT; REVISED STRUCTURAL DWGS & CALCS FOR CHANGES TO BASEMENT. ELIMINATE GLASS WIND SCREEN  ADD WOOD DECK W/ GUARDRAIL.",,
#200805162255,3,2008/05/16,2009/05/04,ISSUED,9,2010/05/04,60000,90000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,5975,17,659,,FELTON,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"HORIZONTAL REAR ADDITION; 2 STORY ADDITION  11'-3""X 28'-4"" TO ADD 2 BEDROOMS  ONE BATH AT GROUND FLOOR. ADD ONE MASTER BEDROOM ON 2ND FLOOR",,
#200805293185,3,2008/05/29,2009/05/07,ISSUED,9,2011/05/07,372178,426145,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,6545,23,4385,,25TH,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"RENOVATE EX. 3 STORY SINGLE FAMILY RESIDENCE TO INCLUDE A HORIZONTAL ADDTION AND INTERIOR REMODEL  RAISE EXTG STRUCTURE TO PROVIDE 9'-0"" PLATE HGT AT 1ST STORY  NEW FOUNDATION AND FULL STRUCTURAL UPGRADE NEW DECK AND PATIO",,
#200807096255,3,2008/07/09,2009/05/06,ISSUED,9,2009/09/06,1,1,"STORAGE SHED",,"STORAGE SHED",,5925,25,137,,GIRARD,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"ALL WORK HAS BEEN PREVIOUSLY APPROVED UNDER PERMIT 200507157777 UNDER CITY PLANNING DIRECTION  RE-SUBMIT FOR CITY PLANNING REVIEW & APPROVAL.",,
#200807096338,3,2008/07/09,2009/05/19,ISSUED,9,2011/11/19,3800000,4000000,CLINICS-MEDIC/DENTAL,49,CLINICS-MEDIC/DENTAL,49,3731,126,255,,07TH,ST,,,ERIC,HERRERO,4158247675,"HERRERO CONTRACTORS INC.",OAKDALE,AV,"SAN FRANCISCO",CA,94124-1516,,,"TENANT IMPROVEMENTS FOR AN OUTPATIENT MEDICAL OFFICE BLDG INCLUDES INTERIOR PARTITIONS  FINISHES  MECHANICAL  ELECTRICAL AND PLUMBING ON 1ST & 2ND FLOOR.",,
#200807106389,3,2008/07/10,2009/05/15,ISSUED,9,2009/11/15,12000,12000,"NITE CLUB",0,"NITE CLUB",0,3509,37,1337,,MISSION,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"REMOVE OFFICE AND BATH ON ROOF. NO WORK WITH EXISTING NIGHT CLUB AND EXISTING OFFICE. TO COMPLY WITH NOV# 200563272.",,
#200807237346,3,2008/07/23,2009/05/01,ISSUED,9,2010/05/01,55000,55000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2399,7,2451,,26TH,AV,,,"J. L. KELLY CONSTRUCTION",,4158504789,"J L KELLY CONSTRUCTION","P.O. BOX 1195",*,TRUCKEE,CA,96160-0000,,,"HORIZONTAL & VERTICAL ADDITION  REPLACE EXISTING PANTRY AND DECK  EXTEND AND ADD ROOM TO EXISTING GROUND FL  ADD DECK TO NEW ROOM ON ROOF.",,
#200807297921,3,2008/07/29,2009/05/18,ISSUED,9,2011/05/18,750000,878547,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,562,19,2467,,VALLEJO,ST,,,"DAVID BRUCE",GOTTFREDSON,4154922020,"REDHORSE CONSTRUCTORS INC.","PROFESSIONAL CENTER",PK,"SAN RAFAEL",CA,94903-0000,,,"REMODEL & REAR YARD ADDITION TO (E) STRUCTURE. REPLACE ALL WINDOWS  NEW ELECTRICAL  NEW PLUMBING AND REPLACE MECHANICAL.",,
#200808018271,3,2008/08/01,2009/05/21,ISSUED,9,2009/11/21,18000,18000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,1193,18,160,,SHRADER,ST,,,KEVIN,BORN,4157564260,"ASHBURY QUALITY CONSTRUCTION",GEARY,BL,"SAN FRANCISCO",CA,94118-0000,,,"ADD A WALKWAY FROM THE 2ND TOP UNIT(#160 SHRADER). TO THE ROOF OF THE EXTG DETACHED GARAGE AND A NEW ROOF DECK ABOVE GARAGE OF REAR YARD AS GRANTED BY VARIANCE #20061514V",,
#200808118812,3,2008/08/11,2009/05/12,ISSUED,9,2010/05/12,45000,45000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2828,50,949,,ELIZABETH,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"RE-CONSTRUCT AND RE-CONFIGURE 3 (E) DECKS  1 AT GRADE",,
#200808118813,3,2008/08/11,2009/05/12,ISSUED,9,2010/05/12,27000,27000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2828,48,945,,ELIZABETH,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"RECONSTRUCT AND RECONFIGURE 2 EXISTING DECKS:  1 AT GRADE  1 IN KIND  AND CONSTRUCT FENCE",,
#200808118815,3,2008/08/11,2009/05/12,ISSUED,9,2010/05/12,28000,28000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2828,49,947,,ELIZABETH,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"RECONSTRUCT AND RECONFIGURE 2 EXISTING DECKS: 1 AT GRADE",,
#200808118855,3,2008/08/11,2009/05/05,ISSUED,9,2010/05/05,50000,93000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,7247,23,91,,"FOREST VIEW",DR,,,"TONY C H",LAW,4153507775,"KUALITY CONSTRUCTIONS","EDGEWATER BLVD #G788",,"FOSTER CITY",CA,94404-0000,,,"REMOVE EXISTING REAR DECK @ 2ND FLOOR AND GROUND FLOOR BAY.  HORIZONTAL REAR 1ST STORY ADDITION APPROX. 13' TO REAR TO EXPAND EXISTING 3 BEDROOM AND FAMILY ROOM. DRY ROT REPAIR PER REPORT.",,
#200808118893,3,2008/08/11,2009/05/12,ISSUED,9,2011/05/12,100000,507537,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2688,11,28,,CLARENDON,AV,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"ADDITION BELOW & BEYOND EXISTING REAR OF THE HOUSE. ADD MASTER SUITE AT LOWER LEVEL 1  ADD DECK AT LOWER LEVEL 2 & EXTEND 1ST FLOOR AT THE BACK.",,
#200808280316,3,2008/08/28,2009/05/27,ISSUED,9,2010/05/27,15000,50300,OFFICE,2,"FOOD/BEVERAGE HNDLNG",2,1641,49,251,,BALBOA,ST,,,"GLEN JOE",FRENCH,4158639167,"CAS CONSTRUCTION",SUTTER,ST,"SAN FRANCISCO",CA,94104-0000,,,"NEW BURGER SHOP INTO (E) VACANT RETAIL: COMPLY WITH 20% RULE  INSTALL ACCESSIBLE BATHROOM  COUNTER SINK  TRIPLE SINK  MOP SINK  FLOOR DRAIN  FLAT GRILL & DEEP FRYER. INSTALL HOOD UNDER SEPARATE PERMIT. HOOD TO BE INSTALLED UNDER SEPARATE PERMIT.",,
#200808290447,4,2008/08/29,2009/05/04,ISSUED,9,2009/11/04,12000,12000,HOSPITAL,,,,628,14,2333,,BUCHANAN,ST,,,"J S",HACKLEY,5109402610,"J S HACKLEY ARCHITECTURAL SIGNAGE",ALPINE,WY,HAYWARD,CA,94545-0000,,,"ERECT  GROUND  ELECTRIC  DOUBLE FACED SIGN.",,
#200808290454,4,2008/08/29,2009/05/04,ISSUED,9,2009/11/04,12000,12000,HOSPITAL,,,,628,14,2333,,BUCHANAN,ST,,,"J S",HACKLEY,5109402610,"J S HACKLEY ARCHITECTURAL SIGNAGE",ALPINE,WY,HAYWARD,CA,94545-0000,,,"ERECT A GROUND NON-ELECTRIC SINGLE FACED SIGN.",,
#200808290455,4,2008/08/29,2009/05/04,ISSUED,9,2009/11/04,12000,12000,HOSPITAL,,,,628,14,2333,,BUCHANAN,ST,,,"J S",HACKLEY,5109402610,"J S HACKLEY ARCHITECTURAL SIGNAGE",ALPINE,WY,HAYWARD,CA,94545-0000,,,"ERECT A ELECTRIC  PROJECTING  DOUBLE FACED SIGN.",,
#200808290456,4,2008/08/29,2009/05/04,ISSUED,9,2009/11/04,12000,12000,HOSPITAL,,,,628,14,2333,,BUCHANAN,ST,,,"J S",HACKLEY,5109402610,"J S HACKLEY ARCHITECTURAL SIGNAGE",ALPINE,WY,HAYWARD,CA,94545-0000,,,"ERECT A GROUND  NON-ELECTRIC  SINGLE FACED SIGN.",,
