"APPLICATION #","FORM_  NUMBER",FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS","PLAN SETS",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,"CONTRACTOR PHONE",COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION
#200807176984,6,2008/07/17,2011/03/07,ISSUED,9,,,60000,"1 FAMILY DWELLING",1,,,0,5926,22,165,,BRUSSELS,ST,,,JAMES,HIN,4157563355,"GALAXY BUILDING CONSTRUCTION",SHAWNEE,AV,"SAN FRANCISCO",CA,94112-0000,,,"TO DEMOLISH 1 FAMILY DWELLING ON CENTER OF TWO LOTS (LOT #021 & 022)"
#200807176988,2,2008/07/17,2011/03/07,ISSUED,9,2013/03/07,500000,796000,,,"1 FAMILY DWELLING",1,2,5926,21,167,,BRUSSELS,ST,,,JAMES,HIN,4157563355,"GALAXY BUILDING CONSTRUCTION",SHAWNEE,AV,"SAN FRANCISCO",CA,94112-0000,,,"ERECT A 3 STORIES SINGLE FAMILY DWELLING."
#200807176993,2,2008/07/17,2011/03/07,ISSUED,9,2013/03/07,500000,741000,,,"1 FAMILY DWELLING",1,2,5926,22,165,,BRUSSELS,ST,,,JAMES,HIN,4157563355,"GALAXY BUILDING CONSTRUCTION",SHAWNEE,AV,"SAN FRANCISCO",CA,94112-0000,,,"ERECT A 3 STORIES SINGLE FAMILY DWELLING."
#200812319452,3,2008/12/31,2011/03/11,ISSUED,9,2012/03/11,100000,100000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,1760,38,1350,,06TH,AV,,,"JOHN C.",POLLARD,4158260606,"5-12 CONSTRUCTION INC/DBA: SF GARAGE CO",MISSION,ST,"SAN FRANCISCO",CA,94103-0000,,,"RECONFIGURE KITCHEN @ 2ND LEVEL  BATHROOM @ 3RD LEVEL  REMOVE STAIRS  GAZEBO AND SOLID WALL @ (SIDE) REAR. RECONFIGURE BATHROOM & WALLS @ GROUND LEVEL"
#200903234623,3,2009/03/23,2011/03/24,ISSUED,9,2013/09/24,1000000,1500000,APARTMENTS,719,APARTMENTS,754,2,3507,41,1411,,MARKET,ST,,,,,,,,,,,,,,"ALTERED SITE PERMIT. REVISION TO PA #2006-0720-7084S. INCLUDES REVISED FLOOR PLANS FOR LEVELS 21 THRU 36 TO ILLUSTRATE ADDITIONAL 35 UNITS THAT WERE CREATED BY SUBDIVIDING EXISTING 2 BEDROOM DESIGNS INTO 1 BEDROOMS PLUS ADJACENT STUDIO APARTMENTS. NO ADDITIONAL GROUND FLOOR AREA WAS ADDED."
#200903275035,3,2009/03/27,2011/03/22,ISSUED,9,2012/03/22,40000,55000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,1673,8,831,,30TH,AV,,,OWNER,,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"1 STORY REAR ADDITION ATTACHED TO (E) BUILDING AT GROUND FLOOR"
#200903275035,3,2009/03/27,2011/03/22,ISSUED,9,2012/03/22,40000,55000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,1673,8,833,,30TH,AV,,,OWNER,,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"1 STORY REAR ADDITION ATTACHED TO (E) BUILDING AT GROUND FLOOR"
#200904015348,3,2009/04/01,2011/03/03,ISSUED,9,2012/03/03,50000,161926,APARTMENTS,3,APARTMENTS,3,2,2826,41,635,,BURNETT,AV,0,,"HAMID ALAGHEMAND",*,4159220200,"AREA DEVELOPMENT CO.",HOWARD,ST,"SAN FRANCISCO",CA,94103-0000,,,"HORIZONTAL ADDITION - PROPOSED ENCLOSURE OF (E) STORAGE TO ADD ADDITIONAL BEDROOMS  BATHROOMS AND A NEW DECK TO UNIT #1 AT 1ST FLOOR. MODIFY 2ND FLOOR BATHROOM. SPRINKLERS SEPARATE PERMIT."
#200906090028,2,2009/06/09,2011/03/15,ISSUED,9,2013/09/15,2100000,2100000,,,"2 FAMILY DWELLING",2,2,501,23,1269,,LOMBARD,ST,0,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"CONSTRUCTION OF FOUR-STORY WOOD FRAME TWO FAMILY DWELLING."
#200906150463,3,2009/06/15,2011/03/18,ISSUED,9,2012/03/18,50000,121900,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,1895,6,1625,,48TH,AV,,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"REVISION TO PA# 2007-1026-6519-ADD STAIR PENTHOUSE TO ROOF & ROOF DECK  ELIMINATE FIRE ESCAPE  ADD BAY WINDOWS @ REAR wall  INTERIOR PARTITION CHANGES  ADD GAME/COMPUTER ROOM AT 2ND FLR  ADD SEPERATE SITTING ROOM AT 3RD FLR  ADD & RELOCATE GAS FIREPLACE."
#200907313875,3,2009/07/31,2011/03/21,ISSUED,9,2012/03/21,61250,70600,APARTMENTS,7,APARTMENTS,7,2,3611,5,2420,,FOLSOM,ST,0,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"Add new roof deck to enclose existing basement garage. Remodel existing bathroom at basement with mop sink."
#200908265647,8,2009/08/26,2011/03/23,ISSUED,9,2011/07/23,1,1,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,6464,19,48,,NEWTON,ST,,,MICHAEL,MCGEE,4153075654,"M 2 DESIGN (CK ID)",MONTEREY,BL,"SAN FRANCISCO",CA,94127-0000,,,"Revision of plan set; 25' setback-actually 24' to back property line. (correction on dimension @ rear). Revision to appl.#2008/09091073."
#200910088591,3,2009/10/08,2011/03/16,ISSUED,9,2013/03/16,600000,600000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,0439A,51,27,,RICO,WY,,,,,,,,,,,,,,"One story vertical and horizontal addition.Incl. new bedrooms (3)  2 bathrms and terrace on (N) 3rd fl. Ground/ First fl incl. (N) bedrm  bathrm  office  media rm  wine cellar. 2nd fl incl. remodel kitchen and dining room"
#200910148958,3,2009/10/14,2011/03/11,ISSUED,9,2011/09/11,15000,15000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,7240A,12,890,,"JUNIPERO SERRA",BL,,,,,,,,,,,,,,"REMOVE DOOR & ENTRYWAY AT SIDE OF STRUCTURE  REPLACE WITH A WINDOW. REMOVE A WINDOW AT THE REAR OF THE STRUCTURE & REPLACE WITH A  DOOR TO A NEW DECK. ADD STAIRS FROM THE NEW DECK TO AN (E) GRADE  ADD EXTERIOR LIGHTING AT THE EXTERIOR STRUCTURE (AT NEW DECK)"
#200911030476,3,2009/11/03,2011/03/16,ISSUED,9,2013/09/16,1200000,1492000,"2 FAMILY DWELLING",2,APARTMENTS,4,2,1219,11,1138,,PAGE,ST,,,MICHAEL,CASSIDY,4158655469,"THE BANNER DEVELOPMENT COMPANY",BAKER,ST,"SAN FRANCISCO",CA,94117-0000,,,"VERTICAL & HORIZONTAL ADDITION - ADDITION & SUBSTANTIAL ALTERATION TO (E) 2-STORY SINGLE FAMILY DWELLIG OF TYPE V-B TO A 4-STORY  4 UNITS RESIDENTIAL BLDG OF TYPE V-A WOOD CONSTRUCTION  INCLUDING NEW MECHANICAL  ELECTRICAL & PLUMBING."
#200911030476,3,2009/11/03,2011/03/16,ISSUED,9,2013/09/16,1200000,1492000,"2 FAMILY DWELLING",2,APARTMENTS,4,2,1219,11,1140,,PAGE,ST,,,MICHAEL,CASSIDY,4158655469,"THE BANNER DEVELOPMENT COMPANY",BAKER,ST,"SAN FRANCISCO",CA,94117-0000,,,"VERTICAL & HORIZONTAL ADDITION - ADDITION & SUBSTANTIAL ALTERATION TO (E) 2-STORY SINGLE FAMILY DWELLIG OF TYPE V-B TO A 4-STORY  4 UNITS RESIDENTIAL BLDG OF TYPE V-A WOOD CONSTRUCTION  INCLUDING NEW MECHANICAL  ELECTRICAL & PLUMBING."
#200911120971,3,2009/11/12,2011/03/18,ISSUED,9,2011/07/18,1500,5000,"RETAIL SALES",,"RETAIL SALES",,2,6309B,2,2610,,"BAY SHORE",BL,,,"GREG MCGRATH & PAUL MEYER",,5108355900,"CLEAR CHANNEL OUTDOOR",12TH,ST,OAKLAND,CA,94607-0000,,,"OBTAIN A BUILDING PERMIT FOR SIGN LOCATED @ 2610 BAYSHORE BOULEVARD. AS REQUIRED BY SIGN ID# ""ORIG 1064"" PER N.O.R. DATED AUGUST 25  2009."
#200911171450,3,2009/11/17,2011/03/28,ISSUED,9,2012/03/28,100000,100000,APARTMENTS,12,APARTMENTS,13,2,578,8,2010,,PACIFIC,AV,,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"NEW ONE BEDROOM APARTMENT UNIT AT GROUND FLOOR. PROPERTY IS ZONED FOR 14 UNITS. ADEQUATE PARKING IS EXISTING BUT NEW SPACE TO BE PROVIDED. THIS IS A SITE PERMIT APPLICATION."
#200911181603,8,2009/11/18,2011/03/29,ISSUED,9,2012/03/29,50000,80000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,62,10,412,,LOMBARD,ST,,,"MARK FORSYTHE",,4153399191,"FORSYTHE GENERAL CONTRACTORS","HARBOR DR  STE C",,SAUSALITO,CA,94965-0000,,,"PROVIDE TEMPORARY SHORING FOR NEW CONSTRUCTION UNDER APPL. 2008-11-07-6053."
#200911302178,3,2009/11/30,2011/03/02,ISSUED,9,2012/03/02,40000,50000,"RETAIL SALES",8,"FOOD/BEVERAGE HNDLNG",8,2,6084,26,4727,,MISSION,ST,,,,,,,,,,,,,,"NEW RESTAURANT. HORIZONTAL ADDITION OF 311 SQ. FT PRIVATE STORAGE PER PLAN."
#201001154844,3,2010/01/15,2011/03/10,ISSUED,9,2011/07/10,5000,10000,APARTMENTS,61,APARTMENTS,61,2,146,1,366,,COLUMBUS,AV,,,"GREG MCGRATH & PAUL MEYER",,5108355900,"CLEAR CHANNEL OUTDOOR",12TH,ST,OAKLAND,CA,94607-0000,,,"LEGALIZE EXISTING  SIGN LOCATED AT 366 COLUMBUS AVENUE SIGN ID ORIG14 PER NOR DATED 11/23/09."
#201001295598,3,2010/01/29,2011/03/24,ISSUED,9,2011/09/24,8000,13000,"FENCE/RETAINING WALL",0,"FENCE/RETAINING WALL",0,2,6272,30,4801,,MISSION,ST,,,UNDECIDED,UNDECIDED,,UNDECIDED,UNDECIDED,,UNDECIDED,CA,00000-0000,,,"Exit pathway & stair type 2. for 4809   4815 mission street see PA# 2007/03/16/6413 and PA# 2007/03/16/6435."
#201002035833,3,2010/02/03,2011/03/11,ISSUED,9,2012/03/11,50000,382120,"2 FAMILY DWELLING",2,APARTMENTS,3,2,3618,71,988,,GUERRERO,ST,,,,,,,,,,,,,,"CONSTRUCT ADDITIONAL DWELLING UNITS @ EXISTING BASEMENT"
#201002035833,3,2010/02/03,2011/03/11,ISSUED,9,2012/03/11,50000,382120,"2 FAMILY DWELLING",2,APARTMENTS,3,2,3618,72,990,,GUERRERO,ST,,,,,,,,,,,,,,"CONSTRUCT ADDITIONAL DWELLING UNITS @ EXISTING BASEMENT"
#201002056056,8,2010/02/05,2011/03/10,ISSUED,9,2013/03/10,500000,500000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,1700,1,4750,,"MARTIN LUTHER KING",DR,,,RAURI,MURPHY,4152551506,"ROEBUCK CONSTRUCTION",MISSISSIPPI,ST,"SAN FRANCISCO",CA,94107-0000,,,"SEISMIC IMPROVEMENTS  ADA CODE UPGRADES  ELECTRICAL & HVAC UPGRADES  WINDOW REPLACEMENT & RE-ROOFING"
#201002096235,3,2010/02/09,2011/03/21,ISSUED,9,2012/03/21,35000,35000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,1063,4,121,,COMMONWEALTH,AV,,,JASON,LANGKAMMERER,4155030555,"JASON LANGKAMMERER",DIVISION,ST,"SAN FRANCISCO",CA,94103-4850,,,"Horizontal addition at the second level at the front facade; minor interior renovations; replacing one window at first floor front facade."
#201003087713,6,2010/03/08,2011/03/22,ISSUED,9,2011/07/22,5000,5000,"1 FAMILY DWELLING",1,,,2,6120,16,673,,BRUSSELS,ST,,,"YANG DE",CHEN,4159710789,"Y D CONSTRUCTION CO. INC.",GORDON,WY,PACIFICA,CA,94044-0000,,,"DEMOLISH A SINGLE FAMILY DWELLING"
#201003087714,2,2010/03/08,2011/03/22,ISSUED,9,2013/03/22,350000,412865,,,"1 FAMILY DWELLING",1,2,6120,16,673,,BRUSSELS,ST,,,"YANG DE",CHEN,4159710789,"Y D CONSTRUCTION CO. INC.",GORDON,WY,PACIFICA,CA,94044-0000,,,"ERECT A SINGLE FAMILY DWELLING BUILDING"
#201004019444,3,2010/04/01,2011/03/17,ISSUED,9,2012/03/17,40000,59560.5,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,3093,3,631,,EDNA,ST,,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"Add two stories at rear yard. Remodel (E) basement and convert to living area."
#201004019475,3,2010/04/01,2011/03/17,ISSUED,9,2011/09/17,20000,20000,OFFICE,0,OFFICE,0,2,3707,1,601,,MARKET,ST,,,"PATRICK WILLIAM",REED,4027863333,"CAPITAL TOWER & COMMUNICATIONS",AMBERLY,RD,WAVERLY,NE,68462-0000,,,"Replace 3 existing antennas in store front signage and add 2 fiber optic cabinets in interior equipment area FOR T-MOBILE."
#201004019475,3,2010/04/01,2011/03/17,ISSUED,9,2011/09/17,20000,20000,OFFICE,0,OFFICE,0,2,3707,1,605,,MARKET,ST,,,"PATRICK WILLIAM",REED,4027863333,"CAPITAL TOWER & COMMUNICATIONS",AMBERLY,RD,WAVERLY,NE,68462-0000,,,"Replace 3 existing antennas in store front signage and add 2 fiber optic cabinets in interior equipment area FOR T-MOBILE."
#201004090003,3,2010/04/09,2011/03/18,ISSUED,9,2011/09/18,10000,12000,"RETAIL SALES",4,"FOOD/BEVERAGE HNDLNG",4,2,3578,25,3674,,18TH,ST,,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"TO CONVERT FROM GROCERY WITH ACCESSORY USE TO A FULL SERVICE RESTAURANT & INSTITUTIONAL NON PROFIT."
#201004140240,8,2010/04/14,2011/03/30,ISSUED,9,2011/09/30,10000,10000,APARTMENTS,4,APARTMENTS,4,2,73,1,815,,LOMBARD,ST,,,OWNER,,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"(n) stair from second floor to garage roof deck @ unit 815."
#201004150332,3,2010/04/15,2011/03/10,ISSUED,9,2012/03/10,70000,70000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,7381,94,240,,"LAKE MERCED HILL NO",BL,,,MICHAEL,PLOTITSA,4156214571,"STRUCTURA GENERAL CONTRACTOR INC.",MISSION,ST,"SAN FRANCISCO",CA,94103-0000,,,"Redesign of rear 1st floor of townhouse to include a bedroom  bathroom & redesign hall/laundry. Design req'd. an 8 ft. expansion beyond the current rear wall  contained beneath the current deck that serves the house 2nd floor property is al condo  part of apod."
#201004230985,3,2010/04/23,2011/03/11,ISSUED,9,2013/03/11,390000,700000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,586,17,2507,,PACIFIC,AV,,,JOE,TOBONI,4158280717,"JT BUILDERS","SANIT FRANCIS",BL,"SAN FRANCISCO",CA,94127-0000,,,"Add garage  addition at rear  remodel kitchen & 4-1/2 bathrooms & misc. improvements."
#201004301502,3,2010/04/30,2011/03/22,ISSUED,9,2013/09/22,1200000,1200000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,2617,44,75,,ASHBURY,TR,,,"KEVIN GREGORY BORN",,4154220881,"ASHBURY QUALITY CONSTRUCTION","12TH STREET",,"SAN FRANCISCO",CA,94103-0000,,,"Alteration of all interior spaces  addition of (e) interior stair to upper roof. Addition of second flr. bedrm. roof deck & roof stair penthouse  replacement windows where indicated. (n) foundation w/ habitable space addition in basement & new lightwell."
#201005041656,3,2010/05/04,2011/03/08,ISSUED,9,2013/03/08,900000,650000,OFFICE,0,OFFICE,0,2,329,1,800,,MARKET,ST,,,"RICHLEN COMMERCIAL INTERI",,4159040900,"RICHLEN CONSTRUCTION",BRYANT,ST,"SAN FRANCISCO",CA,94107-0000,,,"Abandonment of sub-sidewalk space along Ellis Street. Utility relocations for the central subway project.  Demolition work under separate permit. Handicapped access upgrade to restrooms service the area of remodel."
#201005142529,3,2010/05/14,2011/03/22,ISSUED,9,2012/03/22,200000,200000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,866,15,66,,POTOMAC,ST,,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"NEW ADDITION AT REAR OF BUILDING @ 3 FLOORS. NEW DORMERS @ ATTIC LEVEL  NEW FACADE RENOVATION  ADD 2 NEW BATHROOMS  ADD NEW INTERIOR & EXTERIOR STAIRS & ADD 3 SKYLIGHTS."
#201005192811,3,2010/05/19,2011/03/21,ISSUED,9,2012/03/21,78000,78000,APARTMENTS,6,APARTMENTS,5,2,1437,2,309,,05TH,AV,,,TONY,LAU,4158124776,"K A LAU CONSTRUCTION",33RD,AV,"SAN FRANCISCO",CA,94122-0000,,,"MERGE UNIT# 3 & UNIT# 6 TO ONE UNIT. CONNECT 2ND & 3RD LEVEL UNITS WITH STAIRWAY. 2ND LEVEL: CONVERT (E) BEDROOM TO DINING ROOM & LIVING ROOM. REMODEL KITCHEN. MOVE WINDOW. 3RD LEVEL: CONVERT KITCHEN TO BEDROOM. ADD LAUNDRY AREA & BATHROOM. REMOVE WINDOW."
#201005202877,6,2010/05/20,2011/03/15,ISSUED,9,2011/09/15,15000,15000,"1 FAMILY DWELLING",1,,,0,501,23,1269,,LOMBARD,ST,,,OWNER,,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"DEMOLISH 1 DWELLING UNIT"
#201006073969,2,2010/06/07,2011/03/16,ISSUED,9,2013/03/16,450000,590000,,,"1 FAMILY DWELLING",1,2,6034,15,622,,CAMBRIDGE,ST,,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"TO ERECT 3 STORIES  SINGLE FAMILY RESIDENCE."
#201006214922,3,2010/06/21,2011/03/17,ISSUED,9,2011/07/17,4000,10000,APARTMENTS,3,APARTMENTS,3,2,120,13,68,,MACONDRAY,LN,0,,ELISHA,MAYAST,4157220103,"ELISHA MAYOST",BELLE,AV,"SAN RAFAEL",CA,94901-0000,,,"Construct (n) front entry & (n) front door. unit count verrification P.A. #200910058302 must be completed prior to final this permit."
#201006214931,3,2010/06/21,2011/03/28,ISSUED,9,2012/03/28,100000,60000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,8,1082,21,2605,,POST,ST,,,"ROBERT AARON",RAYFORD,9255186203,"RAYFORD TECHNICAL SERVICES AND CONSTRUCT",TRUMAN,LN,OAKLEY,CA,94561-0000,,,"ADD 494 SQ FT OF LIVING SPACE within a 2 story bldg. Addition: NEW FOYER AND DINING ROOM"
#201006225033,3,2010/06/22,2011/03/03,ISSUED,9,2012/03/03,45000,75000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,1302,2,26,,25TH,AV,,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"NEW ONE STORY ADDITIN AND NEW ROOF DECK. REMODEL KITCHEN."
#201006235171,3,2010/06/23,2011/03/24,ISSUED,9,2012/03/24,275000,275000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,865,15,64,,PIERCE,ST,,,JAMES,MCGRATH,4159015709,"TEUTONIC CONSTRUCTION",LUSK,ST,"SAN FRANCISCO",CA,94107-0000,,,"ADD A 1ST STORY HORIZONTAL ADDITION IN PLACE OF 1ST STORY REAR DECK (VARIANCE IN PROCESS). ADD BAY WINDOW TO REAR 2ND STORY (VARIANCE IN PROCESS) CONVERT ATTIC & PART OF BASEMENT TO HABITABLE. ADD DORMERS TO REAR PORTION OF ATTIC."
#201006285444,3,2010/06/28,2011/03/16,ISSUED,9,2013/03/16,450000,450000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,1018,7,414,,SPRUCE,ST,,,JOHN,SCHRADER,6268868,"NOVA DESIGN BUILDS INC",KANSAS,ST,"SAN FRANCISCO",CA,94103-0000,,,"ADD LIVING SPACE FOR LOWER UNIT @ 1ST FLOOR. ADD 4TH FLOOR TO EXPEND UPPER UNIT. ADD ROOF DECKS FRONT & REAR. REPLACE ALL WINDOWS. REMODEL KITCHEN & BATHROOMS."
#201006285444,3,2010/06/28,2011/03/16,ISSUED,9,2013/03/16,450000,450000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,1018,7,416,,SPRUCE,ST,,,JOHN,SCHRADER,6268868,"NOVA DESIGN BUILDS INC",KANSAS,ST,"SAN FRANCISCO",CA,94103-0000,,,"ADD LIVING SPACE FOR LOWER UNIT @ 1ST FLOOR. ADD 4TH FLOOR TO EXPEND UPPER UNIT. ADD ROOF DECKS FRONT & REAR. REPLACE ALL WINDOWS. REMODEL KITCHEN & BATHROOMS."
#201006285487,3,2010/06/28,2011/03/25,ISSUED,9,2013/03/25,375000,433702,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,958,15,2881,,VALLEJO,ST,,,OWNER,OWNER,,OWNER,OWNER,,OWNER,CA,00000-0000,,,"REMODEL OF 4 STORIES & BASEMENT INCLUDING NEW INTERIOR STAIR. NEW DORMERS  MINOR ALTERATIONS TO FRONT FACADE  POSSIBLE BELOW-GRADE EXPANSION OF SINGLE CAR GARAGE (TO 2 CAR) & MODIFICATIONS OF STRUCTURAL  MECHANICAL  ELECTRICAL & PLAUMBING SYSTEMS."
#201006295587,3,2010/06/29,2011/03/11,ISSUED,9,2012/03/11,150000,150000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,4095,73,917,,"RHODE ISLAND",ST,,,"MICHAEL FREDERICK",KENNEDY,4158501069,"NARROWBACK CONSTRUCTION CO.",MISSION,ST,"SAN FRANCISCO",CA,94112-0000,,,"REPAIR (E) ROCK SLOPE ALONG SOUTHERN HTS AVE. REPAIR & REFRAME (E) TERRACE FRAMING ALONG SOUTHERN HTS AVE. REPAIR & REFRAME (E) GARAGE ROOF ALONG SOUTHERN HEIGHTS AVE."
